name,phone,email,website,address,location
A. Carnevalli & Cia. Ltda.,+55 11 24133811,comercial@carnevalli.com,https://www.carnevalli.com,"Av. Guinle, 160-Cumbica, Guarulhos SP, 07221-070, Brazil",Hall 16 / C70
A. M. Ramp & Co. GmbH,+49 6198 304-0,info@ruco-inks.com,https://www.ruco-inks.com,"Lorsbacher Str. 28, Eppstein, 65817, Germany",Hall 4 / C18
"A.F. Supercell Co., Ltd.",+66 2 2402423,afsupercell@af.co.th,https://www.afsupercell.com,"70/7 Moo 3, Tambol Pananikom Amphur Nikompattana, Rayong, 21180, Thailand","Hall 7, level 0 / B23"
A.J. Plast Public Company Limited,+66 2 4150035-195,export@ajplast.co.th,https://www.ajplast.co.th,"95, Thakarm Road Samaedam, Bangkhuntien, Bangkok, 10150, Thailand","Hall 7, level 1 / A23"
A.T.F. S.r.l. A.T.F. Automations,+39-031-491398,sales@atfsrl.com,https://www.atfsrl.com,"Via Giotto, 35, Lurate Caccivio (CO), 22075, Italy",Hall 3 / F57
AAS Advanced Automation Systems Ltd.,+357 25 399962,aas@aasystems.eu,https://www.aasystems.eu,"12, Andrea Araouzou St., Limassol, 3056, Cyprus",Hall 12 / D13
Aawadkrupa PlastomechPrivate Limited (APPL - India),+91 278 9925407011,export@akiropes.com,https://www.akiropes.com,"'Aawadkrupa survey no-131-A, Navagam Bhavnagar-Rajkot Highway, Gujarat, Bhavnagar, 364060, India",Hall 12 / A37
Abate Basilio & C. SNC,+39-030-963586,info@abatestampi.it,https://www.abatebasilio.com,"Via Arturo Maestri, 11/13, Calcinato (BS), 25011, Italy",Hall 1 / C65
ABIEF - ASSOCIACAO BRASILEIRA DA INDÚ- STRIA DE EMBALAGENS PLÁSTICAS FLEXÍVEIS,+55 11 30324092,financeiro@abief.org.br,https://www.abief.org.br,"Avenida Paulista, 2439 - 8º Andar, São Paulo, 01311936, Brazil",North Entrance 1 / N1-03
Able-Speed Sdn. Bhd.,+60-7-5627235,info@ablespeed.com,https://www.ablespeed.com,"No 25, Jalan Perniagaan Setia 6 Taman Perniagaan Setia, Johor Bahru, 81100, Malaysia","Hall 7, level 2 / C11"
aboni GmbH,+49 3320 920327,info@aboni.de,https://www.aboni.de,"Friedrich-Ebert-Str. 27, Schwielowsee, 14548, Germany",Hall 11 / G17
AC VISTA GmbH,+43-662-823888-0,office_vista@auc.systems,https://www.auc.systems,"Alpenstr. 99, Salzburg, 5020, Austria",Hall 12 / F35-03
Accrapak Systems Limited,+44 1925 2229-26,enquiries@accrapak.co.uk,https://www.accrapak.co.uk,"Unit 57 Burtonwood Ind. Centre, Warrington Cheshire, WA5 4HX, United Kingdom of Great Britain and Northern Ireland",Hall 9 / E31
"ACERETECH MACHINERY CO., LTD",+86-512-58622012,sales05@aceretech.com,https://www.aceretech.com,"No.19 Dongsha Changfu Road, Nanfeng Town, Zhangjiagang City Jiangsu Province, 215628, China",Hall 9 / D49
ACES Pros in Plastics BV,+31 316 294033,info@aces-plastics.com,https://www.aces-plastics.com,"Edisonstraat 90, Zevenaar, 6902 PK, Netherlands",Hall 8a / H14
ACH Solution GmbH,+43-7245-25570-0,office@ach-solution.at,https://www.ach-solution.at,"Gewerbepark 5, Fischlham, 4652, Austria",Hall 12 / F36
Acim Jouanin SAS,+33 2 32383333,jouanin@acim-jouanin.fr,https://www.acim-jouanin.fr,"650, rue Vulcain ZI Netreville, Evreux, 27000, France",Hall 11 / F48
ACMA SERVICE srl,+39-0532-350600,info@acmaservice.com,https://www.acmaservice.com,"Via ex Dogana, 5, Casumaro (FE), 44041, Italy",Hall 10 / E02
Acme Drinktec solutions llp,+91 98 10418975,sales@acmedrinktec.com,https://www.acmedrinktec.com,"C65, Mayapuri Phase ii, Industrial Area, New Delhi, 110064, India",Hall 1 / D97
ACTEGA GmbH,+49-421-39002-0,info.actega.ds@altana.com,https://www.actega.com,"Abelstraße 43, Wesel, 46483, Germany",Hall 8a / F11-03
AcXys Technologies SAS,+33-4-76756079,info@acxys.com,https://www.acxys.com,"50, Bis rue de Vingt Toises, Saint Martin le Vinoux, 38950, France",Hall 3 / D72-03
Addex Inc.,+1 315 3317700,addex@addexinc.com,https://www.addexinc.com,"251 Murray St., Newark NY, 14513, USA",Hall 17 / C41
Addform Limited,+44 151 6591102,richard.glen@addform.co.uk,https://www.addform.co.uk,"Unit 21 Owen Court Skypark Industrial Estate, Liverpool, L24 1YL, United Kingdom of Great Britain and Northern Ireland",Hall 8b / H47
Addiplast Group S.A.S.,+33-4-71751090,contact@addiplast-group.com,https://www.addiplast-group.com,"ZI de Campine Allee Pierre et Marie Curie, Saint Pal de Mons, 43620, France",Hall 5 / D04-16
Addvanze AB,+46-42-4453300,info@addvanze.com,https://www.addvanze.com,"Makadamgatan 19, Helsingborg, 254 64, Sweden",Hall 8a / F20
ADEKA Polymer Additives Europe SAS,+33 3 68750530,contact@adeka-pa.eu,https://www.adeka-pa.eu,"13, rue du 17 Novembre, Mulhouse, 68100, France",Hall 6 / A11
Adescor Inc.,+1 246 1030-138,bvanvalkenburg@parmerit.com,https://www.adescor.com,"705, Wright Street, Strathroy, N7G4L3, Canada",Hall 16 / F74
Adler S.r.l.,+39-0332-916217,granulator@adlerbuzzi.com,https://www.adlerbuzzi.com,"Via Oltrona, 19, Barasso (VA), 21020, Italy",Hall 9 / C52
Adsale Publishing Limited,+852-2811-8897,cprj@adsale.com.hk,https://www.adsale.com.hk,"6th Floor, 321 Java Road North Point, Hong Kong, Hong Kong, China SAR",North Entrance 1 / N1-02
ADVANCE BIO MATERIAL CO PVT LTD,+91 80 80209351,info@advancebioplast.com,https://www.advancebioplast.com,"525, Avior, Nirmal Galaxy, LBS Road, Mulund-West, Mumbai, 400080, India","Hall 7, level 2 / E10"
ADVANCED & FUNCTIONAL TECHNOLOGIES FOR BIOCOMPOSITES S.L.,+34 96 820000,info@adbioplastics.com,https://www.adbioplastics.com,"Albert Einstein 5, Paterna - Valencia, 46980, Spain",Hall 8a / C34
Advanced Blending Solutions LLC,+1-906-9144180,sales@adv-blend.com,https://www.adv-blend.com,"W5649 County Road 342, Wallace MI, 49893, USA",Hall 13 / A89-8
Advanced Petrochemical Company JOINT STOCK,+966 13 3566000,info@advancedpetrochem.com,https://www.advancedpetrochem.com,"Industrial City, Jubail, 31961, Saudi Arabia",Hall 8a / G36
Advantage Austria Wirtschaftskammer Österreich Außenwirtschaft Austria,+43-5-90900-0,aussenwirtschaft.industry@wko.at,https://www.advantageaustria.org,"Wiedner Hauptstrasse 63, Wien, 1045, Austria",Hall 12 / F35-09
"AENOR CONFÍA, S.A.U.",+34 91 4326000,certificacionproducto@aenor.com,https://www.aenor.es,"Génova 6, Madrid (Spain), Madrid, 28004, Spain",Hall 8a / E12-02
Aerodry Plastics Automation Pvt. Ltd.,+91 120 4766777,info@aerodry.com,https://www.aerodry.com,"F-52 & 53, Sector-11, Noida, 201301, India",Hall 10 / H52
AEROFİX KİMYA A.Ş,+90 212 8070011,k.kucuk@aerofix.com.tr,https://www.aerofix.com.tr,"Gökevler Mahallesi̇ 2312 Sokak no: 16 g Ginza Corner Plaza kat: 9 Ofis: 109, ESENYURT/İstanbul, 34517, Türkiye",Hall 1 / E90
"AES Moldes, Lda.",+351-244-574870,commercial@aesmolds.com,https://www.aesmolds.com,"Rua Industrial da Barosa Carreira de Água, Leiria, 2400-016, Portugal",Hall 1 / A46-09
Aetna Group S.p.A.,+39-051-791611,info@robopac.com,https://www.robopac.com,"S.p. Marecchia, 59, Villa Verucchio (RN), 47826, Italy",Hall 13 / C28
"AETP Co.,Ltd.",+82-70-4773-2120,sale@aetp.co.kr,https://www.aetp.co.kr,"6-3, Seowon-Ro 160beon-Gil, Seowon-Myeon Hoengseong-Gun, Gangwon-Do, Gangwon-do, 25201, Korea, Republic",Hall 3 / E47
AF-COLOR Zweigniederlassung der AKRO-PLASTIC GmbH,+49 2636 80920,info@af-color.com,https://www.af-color.com,"Industriegebiet Scheid 27, Niederzissen, 56651, Germany",Hall 6 / C76
AFS Entwicklungs- und Vertriebs GmbH,+49 8294 80494-0,info@afs.biz,https://www.afs.biz,"Von-Holzapfel-Str. 10, Horgau, 86497, Germany",Hall 10 / H47
"AGC Chemicals Europe, Ltd.",+44 1253 209560,agcce.marketing@agc.com,https://www.agcce.com,"Hillhouse International Fleetwood Road North, Thornton Cleveleys Lancashire, FY5 4QD, United Kingdom of Great Britain and Northern Ireland",Hall 7a / D03
AGRANA Stärke GmbH,+43-121-137,info.staerke@agrana.com,https://www.agrana.com,"Friedrich-Wilhelm-Raiffeisen-Platz 1, Wien, 1020, Austria",Hall 5 / F30-04
AGRIPAK S.r.l.,+39 02 320625427,agripak@agripak.com,https://www.agripak.com,"Via Monte Rosa 67, Milano, 20149, Italy",Hall 17 / A76
AGRODUR Grosalski GmbH & Co. KG,+49 2755 8880,info@agrodur.de,https://www.agrodur.de,"Alexander-Mack-Str. 20, Bad Berleburg, 57319, Germany",Hall 6 / D76
AGS Automation Greifsysteme Schwope GmbH,+49 2204 96810-10,info@ags-automation.de,https://www.ags-automation.de,"Braunsberger Feld 15, Bergisch Gladbach, 51429, Germany",Hall 12 / B37
AHP Merkle GmbH,+49 7665 4208-0,mailbox@ahp.de,https://www.ahp.de,"Nägelseestr. 39, Gottenheim, 79288, Germany",Hall 1 / D01
AHP PLASTIK MAKINA SANAYI VE TICARET LIMITED,+90-212-872-5280,info@ahp-makina.com,https://www.ahp-makina.com,"No. 78, A Block, Perlavista Bldg. Beylikduzu, Istanbul, 34528, Türkiye",Hall 11 / D57
Aigle Macchine S.r.l.,+39 011 2624382,info@aigle.it,https://www.aigle.it,"Via Donatello, 8, Borgaro Torinese (TO), 10071, Italy",Hall 4 / C04
Aikya Global Inc.,+1-647-7672700,,https://www.aikyaglobal.com,"82, Fallingdale Crescent, Brampton, L6T 3J6, Canada","Hall 7, level 2 / C21"
AIMPLAS PLASTICS TECHNOLOGY CENTRE,+34-961-366-040,info@aimplas.es,https://www.aimplas.net,"C/ Gustave Eiffel, 4 Parque Tecnológico de Valencia, Paterna (Valencia), 46980, Spain",Hall 8a / E12-06
"Ainy Ele-Machanical Co., Ltd",+86 22 25324665,bjsyf@vip.163.com,https://www.cnainy.com,"No. 8, Hongze Road, Teda, Tianjin, 300457, China","Hall 7, level 2 / B11"
Airprotech S.r.l.,+39-02-9790466,info@airprotech.eu,https://www.airprotech.eu,"Via F.lli Bronzetti 10/12, Magenta (MI), 20013, Italy",Hall 4 / E02
